Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc
01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,1500,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,801,MTA BUS
11/29/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,10,West Valley,354,THEFT OF IDENTITY,39,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,811,7,Wilshire,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,O,203,OTHER BUSINESS
08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,57,F,H,102,SIDEWALK
01/28/2020 12:00:00 AM,01/28/2020 12:00:00 AM,2100,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,101,STREET
06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1000,8,West LA,624,BATTERY - SIMPLE ASSAULT,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME
01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1930,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,404,DEPARTMENT STORE
01/30/2020 12:00:00 AM,01/30/2020 12:00:00 AM,55,1,Central,330,BURGLARY FROM VEHICLE,24,M,H,101,STREET
01/31/2020 12:00:00 AM,01/30/2020 12:00:00 AM,2040,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,H,401,MINI-MART
02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,920,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,H,203,OTHER BUSINESS
02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1645,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,W,404,DEPARTMENT STORE
06/15/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1700,14,Pacific,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,101,STREET
02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1135,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,A,122,"VEHICLE, PASSENGER/TRUCK"
12/11/2020 12:00:00 AM,12/11/2020 12:00:00 AM,420,2,Rampart,761,BRANDISH WEAPON,34,M,W,108,PARKING LOT
11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,115,12,77th Street,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1600,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,B,406,OTHER STORE
